구 분,노 선,구 간,연장(km),계,버짐,은행,느티,벚,버드,칠엽수,메타,중국단풍,단풍,배롱,자귀,주목,향나무,회화,귀룽,무궁화,노각,느릅,이팝,목백합,계수,감,산수유,사과,매실,살구,모과,반송,대왕참,대추,개목련,둥근소나무,수수꽃다리,튤립나무,공작단풍,소나무,산딸나무
청원구,오창중앙로,과학산업3로-코아루아파트/우림필유1차아파트사잇길,0.21,36,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,오창중앙로,코아루아파트/우림필유1차아파트사잇길,0.46,93,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,
청원구,용두길,용두1차교차로-용두2차교차로,1.49,80,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,우산길,초정장례식장-영하1리사거리,1.06,32,,,,19,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,
청원구,우암산로,우암산터널-관음사삼거리앞40km표지판,2.98,264,,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,원리여천길,여천농어촌버스정류장-원리교차로지하도,0.52,574,,,,,,,,,,,,,,,,,,,574,,,,,,,,,,,,,,,,,,
청원구,율량로,양지교사거리-율량2지구LH1단지아파트,1.89,359,,,,,,,,,,,,,,,,,,,359,,,,,,,,,,,,,,,,,,
청원구,율량로3번길,주성로-율량로9번길,0.2,10,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,
청원구,율량로4번길,율량로32번길-율량로10번길,0.15,19,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
청원구,율량로9번길,주성로-율량로,0.6,38,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,,,
청원구,율량로10번길,율량로9번길-2순환로273번길,0.17,37,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,
청원구,율량로32번길,주성로-2순환로273번길,0.17,24,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
청원구,율량로48번길,2순환로273번길-주성로233번길,0.3,55,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,
청원구,율량로138번길,율량로-율량로,0.34,55,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,
청원구,율량로189번길,율량로-주성로,0.24,31,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,
청원구,율량로190번길,주성로-충청대로,0.48,66,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
청원구,율량로201번길,율량로-주성로,0.37,4,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
청원구,율량로202번길,율량로190번길-율량로,0.93,57,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,
청원구,율봉로,남광하우스토리삼거리-서원신협사천지점사거리,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,율봉로,서원신협사천지점사거리-농협사거리,1.1,83,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,율봉로,농협사거리-중앙초등학교,1.44,246,,146,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,
청원구,율봉로262번길,율봉로-율량로190번길,0.1,8,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,
청원구,율봉로286번길,율봉로-율량로189번길,0.91,12,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
청원구,율중로,중리교-새싹교사거리,0.81,33,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,
청원구,율중로7번길,율중로-1순환로1896번길,0.67,120,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,
청원구,율중로16번길,율중로-율중로,0.65,22,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,
청원구,율중로29번길,율중로-율중로,0.34,36,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,
청원구,율중로79번길,율중로7번길-율중로,0.25,58,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,,
청원구,율천남로,덕성교-무심동로,1.45,86,,,2,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,율천북로,무심동로-율천북로13번길,0.16,11,5,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,율천북로,덕천교-사천교사거리,0.04,62,,,6,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,
청원구,율천북로,사천교사거리-충청대로,1.6,92,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,율천북로165번길,율천북로-청주여자고등학교,0.3,13,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,의암로,신기지하차도-금암1길,,229,,,52,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,장전로,서부로-신성화로,0.93,167,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,,,,,,
청원구,주성1길,중부로-2산단로(상가내 도로 포함),1.12,180,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,주성로 ,석우문화체육관사거리-성모병원사거리,2.24,329,,314,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
청원구,주성로 ,성모병원사거리-충일카프라자삼거리,1.54,10,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,주성로 233번길,주성로-율량로,0.21,35,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,
청원구,중부로,창리사거리-오창과학산업단지교차로,3.82,551,256,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중부로,오창과학산업단지교차로-과학산업4로,1.87,338,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업1로,중심상업로-과학산업2로,0.83,141,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업2로,중심상업로-과학산업2로,0.82,104,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업2로,오창119안전센터인근,0.22,29,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업로,한국생명공학연구원사거리-청원보건소사거리,0.71,76,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업로,홈플러스삼거리-충북지방중소벤처기업사거리,0.39,46,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,중심상업로,조이호텔삼거리-중심상업2로,0.38,36,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,
청원구,직지대로,흥덕대교-청대사거리,0.74,98,84,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,창리1길,오창읍 창리 109-3 - 오창읍창리 9-47,0.22,26,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,청암로,청암교-비중사거리,4.9,364,,,,284,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,
청원구,초정길,미원초정로-초정약수로,1.77,272,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,초정약수로,청주시경계(증평읍)-대율삼거리,6.55,350,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,내덕칠거리-율량교사거리,0.93,140,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,율량교사거리-주성사거리,1.27,218,102,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,
청원구,충청대로,주성사거리-구성교차로,2.5,206,109,,,,,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,
청원구,충청대로,구성교차로-덕일한마음아파트사거리,2.1,131,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,덕일한마음아파트사거리-내수사거리,2.62,139,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,내수사거리-현암사거리,1.99,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,현암사거리-옥수삼거리,3.53,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,충청대로,옥수삼거리-증평군초입,0.93,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,팔결로,종축장삼거리-공항사거리,2.82,353,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,팔결신대로,신대삼거리-팔결교삼거리,6.75,795,,,,795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,향군로,우암오거리-우암사거리,0.51,54,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,향군로,우암사거리-덕벌초교삼거리,0.72,94,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청원구,향군로,덕벌초교삼거리-시영아파트사거리,0.5,57,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서현서로,서현로-석남천2교,0.49,75,,,51,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제2순환로,서청주교사거리-향정삼거리,0.35,33,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,증안로,흥덕고삼거리-복대교삼거리,1.16,216,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제1순환로,사도교회횡단보도-봉명사거리,0.66,111,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제1순환로,봉명사거리-농수산물시장삼거리,0.81,120,82,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제1순환로,농수산물시장삼거리-제2운천교,1.07,184,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제1순환로 438번길,청주백제유물전시관삼거리-1순환로436번길,0.53,78,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제2순환로,시외버스터미널사거리-터미널사거리,0.42,79,,39,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,
흥덕구,제2순환로,터미널사거리-서청주교사거리,2.07,425,,26,337,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,
흥덕구,제2순환로,향정삼거리-향정교차로,0.21,52,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,제2순환로,향정교차로-송절교차로,2.95,415,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,2순환로971번길,2순환로-대신로,1.11,178,,138,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,2순환로1167번길,2순환로-짐대로,0.15,23,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,2순환로1168번길,2순환로-비하로,0.16,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,2순환로1219번길,풍년로-2순환로,0.19,25,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,2순환로1375번길,풍년로-2순환로,0.21,28,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,SK로,송절교차로-향정교차로,2.84,845,,,845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가경로,월천1교사거리-2순환로1329번길,0.54,110,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가경로,2순환로1329번길-죽천교사거리,1.47,258,,,,,,,,,,,,,,,,,,173,85,,,,,,,,,,,,,,,,,,
흥덕구,가경로127번길,가경로-풍산로48번길,0.15,28,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,
흥덕구,가경로173번길,풍산로47번길-풍산로89번길,0.17,26,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가경천 제방길 우측,발산교-하복대교,0.94,255,2,,,,,,,,,,,,,31,,,,,,,,,,,,222,,,,,,,,,,,
흥덕구,가경천 제방길 좌측,가로수로-풍산로,0.52,77,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,,,,,,,,
흥덕구,가로수로,산업단지육거리-복대사거리,0.61,89,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,복대사거리-터미널사거리,1.34,316,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,터미널사거리-휴암동사거리,2.5,918,918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,휴암동사거리-탑연사거리,4.12,479,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,탑연삼거리-궁평1교차로,1.65,50,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,궁평1교차로-오송2교차로,1.1,108,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로,오송2교차로-정중삼거리(청주시경계),2.6,133,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,가로수로 1164번길,강서사거리-서현중로,0.29,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
흥덕구,가로수로부속도로,한국교원대부설 월곡초등학교 입구,0.09,20,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,강서로,시외버스터미널사거리-농업기술센터앞,1.27,274,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,경산로,강서지구사거리-가경1교,0.9,134,,,,,,,,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,
흥덕구,경산로9번길,2순환로1261번길-경산로,0.1,15,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,
흥덕구,경산로43번길,풍년로142번길-경산로,0.18,20,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,
흥덕구,경산로44번길,경산로-풍년로108번길,0.18,26,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,
흥덕구,경신로,개신1교-서경중학교정문앞,0.22,41,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,
흥덕구,공단로,솔밭공원사거리-산업단지육거리,1.49,193,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,과상미로9번길,직지대로581번길-직지대로,0.16,32,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,
흥덕구,과학산업2로,삼성SDI사업장사거리-엘지교차로,1.67,280,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,과학산업3로,기아오토큐오창점사거리-오창대로,1.82,355,,,,,,,,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,과학산업3로,중부로-오창중앙병원/기아자동차오창지점사잇길,0.15,19,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,과학산업3로,청원보건소 앞길,0.11,22,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,과학산업4로,삼성SDI청주사업장주차장진입로-구룡택지로,0.32,168,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,
흥덕구,국산오산로,몽단이고개교차로-옥산중학교,6.58,462,,,,282,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,내옥제방길,옥산교-덕촌리3구,3.9,115,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,대농로,대농교-금호어울림2단지아파트정문,1.32,232,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,
흥덕구,대농로,흥덕구청 금호어울림1단지아파트 사잇길,0.15,31,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,대신로,죽천교사거리-솔밭공원사거리,1.28,178,,,68,86,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
흥덕구,대신로,솔밭공원사거리-2순환로,1.05,160,,81,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,대신로10번길,대신로13번길-대신로,0.44,39,,,,,,,,,,,,,,23,,,,,16,,,,,,,,,,,,,,,,,,
흥덕구,대신로18번길,대신로-대신로10번길,0.07,11,,,,,,,,,,,,,,2,,,,,9,,,,,,,,,,,,,,,,,,
흥덕구,대신로73번길,대신로74번길-진재로,0.46,54,,,,27,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,
흥덕구,대신로74번길,죽천로131번길-대신로73번길,0.16,12,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,
흥덕구,대신로 146번길,대신로-산단로,1.1,192,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,대신로 164번길,대신로-직지대로435번길,0.52,86,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,덕암로 29번길,월명로236번길-덕암로,0.3,43,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,덕암로 30번길,덕암로-월명로178번길,0.28,40,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,만수길,오송생명5로-오송생명3로,0.1,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
흥덕구,무심서로,문암생태공원캠핑장-흥덕대교,4.9,458,,,,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,미호로,문암생태공원캠핑장-환경사업소,,131,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,백봉로,농수산물시장삼거리-대신로,2.79,470,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,백봉로72번길,백봉로-대신로146번길,0.37,68,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,백봉로90번길,대신로146번길-백봉로,0.37,70,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,백봉로197번길,덕암로30번길-백봉로,0.11,180,,14,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,백봉로224번길,주현로42번길-백봉로,,70,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,,
흥덕구,복대로,가경사거리-기상대사거리,1.74,45,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,복대로96번길,신율로103번길-복대로,0.15,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,봉명로,한국국토정보공사충북지역본부삼거리-폴리텍대사거리,1.95,336,,336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,봉정로,백봉로-월명로140번길,0.23,37,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,
흥덕구,봉정로56번길,백봉로224번길-봉정로,0.37,68,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,
흥덕구,비하로,비하로46번길-비하로35번길,0.34,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,비하로12번길,2순환로1168번길-비하로,0.34,60,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,비하로18번길,비하로12번길-비하로,0.09,6,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,비하로32번길,비하로-비하로12번길,0.23,28,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,사운로,사운로404번길-신봉사거리,1.05,157,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,사운로,신봉사거리-흥덕사거리,1.16,241,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,사직대로,청주고정문-충대사거리,0.29,60,46,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,사직대로,충대사거리-산업단지육거리,0.52,86,67,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,산단로,2순환로-산업단지육거리,2.52,197,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,상정쌍청로,상정4교 앞길,0.15,24,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
흥덕구,서부로,청주가경노인복지관표지판-석곡사거리,1.31,236,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서부로1101번길,석곡사거리-서현로,0.8,168,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서현동로,가로수로1164번길-서현중로28번길,0.55,79,,,13,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,
흥덕구,서현동로,서청주농협강서지점밑길,0.12,24,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
흥덕구,서현동로,가로수마을선광로즈웰아파트윗길,0.25,30,,,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서현로,농업기술센터앞-서현중사거리,1.13,62,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서현북로사잇길,석남천제방길-서현서로21번길,0.28,55,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,
흥덕구,서현북로,서현로-서현동로,0.93,69,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,서현중로,서현로-가로수로1164번길,0.81,75,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,석남천제방길,서현동로-서현로,0.78,106,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,성봉로275번길,신율로-성봉로,0.27,21,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,세종오송로,오송가락로-미호대교,4.6,562,,,,,,,,,,,,,,,,,,,,,,,,,,,,562,,,,,,,,,
흥덕구,송절로,산단로-사운로,1.6,135,,56,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,송절로 일부구간,SK이노베이션 오리온 사잇길,0.24,46,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,송절로 76번길,송절로-월명로236번길,0.3,46,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,신율로,산업단지육거리-청주아파트102동103동 정문앞,1.18,210,,110,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,신율로103번길,신율로-복대로,0.22,21,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,신율로139번길,신율로-풍산로127번길,0.27,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,심동로,동림삼거리-청주시경계(전동면),3.32,71,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,연제길,정중연제로-오송생명3로,1.76,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,
흥덕구,오산가좌로,오창냉장간판-오송가락로,6.55,235,,184,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,오송가락로,오송역-중부로,8.9,128,,115,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,오송가락로,상가단지 사잇길,0.15,21,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,
흥덕구,오송생명로1로,오송생명4로-오송생명로,2.78,571,,38,254,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,오송생명로1로,충북보건환경연구원 사잇길,0.47,86,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,
흥덕구,오송생명로1로,오송융합바이오소재센터 사잇길,0.45,76,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로,엔도더마 사잇길,0.45,83,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로,오송생명1로-오송가락로,2.63,476,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로,오송생명로-오송생명2로,0.54,83,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로,서흥캅셀 사잇길,0.55,91,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로,메드트로닉이노베이션센터 앞길,0.25,45,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,
흥덕구,오송생명3로,오송생명2로-오송가락로,2.22,327,,51,236,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
흥덕구,오송생명3로,오송생명과학단지보건지소양쪽사잇길,0.51,91,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,
흥덕구,오송생명4로,신촌교-상정길,2.61,355,,,,320,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,
흥덕구,오송생명4로,오송생명6로-오송생명4로,0.94,165,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,오송스파사우나 사잇길,0.46,83,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,오송생명3로-오송생명4로,2.63,201,,12,,147,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,오송중학교 사잇길,0.3,49,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,홈플러스익스프레스 사잇길,0.17,21,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,하나로마트 사잇길,0.14,19,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,CU오송연제점 사잇길,0.34,62,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,바이넥스 오송공장 사잇길,0.32,57,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,
흥덕구,오송생명5로,서울제약 사잇길-6로,0.27,49,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,
흥덕구,오송생명6로,상정5교-오송생명5로,1.86,343,,313,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,
흥덕구,오송생명6로,크리스탈생명과학 사잇길,0.2,35,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,
흥덕구,오송생명로,궁평1교차로-초막교,3.61,541,,,358,,,,,,,,,,,,,,,,183,,,,,,,,,,,,,,,,,,
흥덕구,오송생명로,스타벅스청주오송점 사잇길,0.43,50,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로 앞길1,오송생명2로 연장,0.3,64,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,
흥덕구,오송생명2로 앞길2,오송생명2로 연장,0.36,52,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,
흥덕구,오송생명1로 앞길,오송생명1로 연장,1.78,277,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,
