시군구명,도로구간명,수종명,lon,lat
충청북도 청주시 청원구,오창대로,벚나무,36.70897523098816,127.48108891899834
충청북도 청주시 청원구,오창대로,벚나무,36.70888280982732,127.48070698521646
충청북도 청주시 청원구,오창대로,벚나무,36.70899581783387,127.48178703447714
충청북도 청주시 청원구,오창대로,벚나무,36.70862504028482,127.48031437926008
충청북도 청주시 청원구,오창대로,벚나무,36.70899325378248,127.48115815116388
충청북도 청주시 청원구,오창대로,벚나무,36.7091000456711,127.48159593362377
충청북도 청주시 청원구,오창대로,벚나무,36.709116279473015,127.48166404685692
충청북도 청주시 청원구,오창대로,벚나무,36.70904122772853,127.48135513503648
충청북도 청주시 청원구,오창대로,벚나무,36.7088979318533,127.48076937323198
충청북도 청주시 청원구,오창대로,벚나무,36.70837918893891,127.47950505835692
충청북도 청주시 청원구,오창대로,벚나무,36.70863408621545,127.47961289264806
충청북도 청주시 청원구,오창대로,벚나무,36.70846585459587,127.47974152861246
충청북도 청주시 청원구,오창대로,벚나무,36.7086573997758,127.4804395685819
충청북도 청주시 청원구,오창대로,벚나무,36.708777225196094,127.48027716003764
충청북도 청주시 청원구,오창대로,벚나무,36.70913476719465,127.4817251915732
충청북도 청주시 청원구,오창대로,벚나무,36.70872088321281,127.48070170468633
충청북도 청주시 청원구,오창대로,벚나무,36.70859852962364,127.48019549272576
충청북도 청주시 청원구,오창대로,벚나무,36.70893141952544,127.48090760872402
충청북도 청주시 청원구,오창대로,벚나무,36.70882291260045,127.48046076440916
충청북도 청주시 청원구,오창대로,벚나무,36.70840021784876,127.4795595362762
충청북도 청주시 청원구,오창대로,벚나무,36.70864245966049,127.47966404537512
충청북도 청주시 청원구,오창대로,벚나무,36.708895818939446,127.48140348564058
충청북도 청주시 청원구,오창대로,벚나무,36.70856378310633,127.48005660006255
충청북도 청주시 청원구,오창대로,벚나무,36.70905546829487,127.48141926261964
충청북도 청주시 청원구,오창대로,벚나무,36.709023536857,127.4812818422052
충청북도 청주시 청원구,오창대로,벚나무,36.70900625559186,127.48121889212352
충청북도 청주시 청원구,오창대로,벚나무,36.70892719531046,127.48153306923646
충청북도 청주시 청원구,오창대로,벚나무,36.70875266123335,127.48082573906277
충청북도 청주시 청원구,오창대로,벚나무,36.7088050006069,127.48039523662533
충청북도 청주시 청원구,오창대로,벚나무,36.70901600069167,127.48184568161392
충청북도 청주시 청원구,오창대로,벚나무,36.708444018322496,127.47967923483456
충청북도 청주시 청원구,오창대로,벚나무,36.708654718964524,127.47973704742122
충청북도 청주시 청원구,오창대로,벚나무,36.70850968291485,127.47986969861556
충청북도 청주시 청원구,오창대로,벚나무,36.70866892909001,127.4798022374213
충청북도 청주시 청원구,오창대로,벚나무,36.70881433220055,127.48108573693872
충청북도 청주시 청원구,오창대로,벚나무,36.70896201428005,127.4810255925456
충청북도 청주시 청원구,오창대로,벚나무,36.70879310754229,127.48034769915158
충청북도 청주시 청원구,오창대로,벚나무,36.70896040836897,127.4816610068865
충청북도 청주시 청원구,오창대로,벚나무,36.70906895704562,127.48147097486908
충청북도 청주시 청원구,오창대로,벚나무,36.70885709729745,127.4806005372573
충청북도 청주시 청원구,오창대로,벚나무,36.70897714679571,127.48172465760796
충청북도 청주시 청원구,오창대로,벚나무,36.70891883983084,127.4808516393526
충청북도 청주시 청원구,오창대로,벚나무,36.708848937545085,127.48121244171736
충청북도 청주시 청원구,오창대로,벚나무,36.70875952914476,127.48020520956948
충청북도 청주시 청원구,오창대로,벚나무,36.708426357444985,127.47962507996132
충청북도 청주시 청원구,오창대로,벚나무,36.70868315625075,127.47986743986218
충청북도 청주시 청원구,오창대로,벚나무,36.70915216130591,127.48178490700296
충청북도 청주시 청원구,오창대로,벚나무,36.70878364674389,127.48095653854034
충청북도 청주시 청원구,오창대로,벚나무,36.70870929963687,127.48064896382992
충청북도 청주시 청원구,오창대로,벚나무,36.70883672580029,127.48052596340334
충청북도 청주시 청원구,오창대로,벚나무,36.70879976355195,127.48101801499377
충청북도 청주시 청원구,오창대로,벚나무,36.70894609714754,127.48096153300624
충청북도 청주시 청원구,오창대로,벚나무,36.708868129590485,127.48064676112163
충청북도 청주시 청원구,오창대로,벚나무,36.70908611379573,127.48154039206509
충청북도 청주시 청원구,오창대로,벚나무,36.70862453673623,127.4795427390063
충청북도 청주시 청원구,충청대로,버즘나무,36.68244608563505,127.502956045522
충청북도 청주시 청원구,충청대로,버즘나무,36.68073625018625,127.50003584634084
충청북도 청주시 청원구,충청대로,버즘나무,36.68124782990153,127.5012059857255
충청북도 청주시 청원구,충청대로,버즘나무,36.681868099975496,127.5019344905125
충청북도 청주시 청원구,충청대로,버즘나무,36.68099094145308,127.50036937294104
충청북도 청주시 청원구,충청대로,이팝나무,36.6747201836773,127.49610453687714
충청북도 청주시 청원구,충청대로,이팝나무,36.67618694795836,127.49635041608852
충청북도 청주시 청원구,충청대로,이팝나무,36.6767236655058,127.49672009520916
충청북도 청주시 청원구,충청대로,이팝나무,36.67841032068673,127.49801768018882
충청북도 청주시 청원구,충청대로,이팝나무,36.678904546019545,127.49839290828814
충청북도 청주시 청원구,충청대로,이팝나무,36.67749476867533,127.49732013129912
충청북도 청주시 청원구,충청대로,이팝나무,36.678658053991526,127.49820452570216
충청북도 청주시 청원구,충청대로,이팝나무,36.677369361561496,127.4972244918351
충청북도 청주시 청원구,충청대로,이팝나무,36.67761615607791,127.4974137639248
충청북도 청주시 청원구,충청대로,이팝나무,36.67780283485076,127.49755381958614
