fac_nm,fxd_num,prsnt_num,lon,lat
행정초등학교병설유치원,17,5,127.531947367568,36.5366200596879
남일초등학교병설유치원,17,10,127.509473098825,36.5757868126436
청남어린이집,89,41,127.51245722098672,36.57613024106218
성무어린이집,88,55,127.513180675975,36.58077698978713
경원어린이집,96,72,127.50934078455914,36.58610655237449
한화보은어린이집,20,8,127.51084733244691,36.58750587530961
동명푸른솔유치원,250,231,127.519268676321,36.6003926375598
사랑뜰어린이집,20,18,127.5096937220062,36.603243251944726
가덕어린이집,95,13,127.5461146,36.54860872
가덕초등학교병설유치원,17,2,127.578482716745,36.5779265039925
리버파크자이어린이집,84,83,127.610674567214,36.61683292589935
낭성어린이집,99,21,127.60852210596045,36.62201819975838
햇살나라어린이집,94,67,127.546561768013,36.62573200123844
베베클래스어린이집,20,19,127.55954680596892,36.62801465669134
아이다움어린이집,44,43,127.51719548491472,36.60400618094403
동남지구어린이집,65,29,127.52265792920927,36.60646947245842
운동초등학교병설유치원,40,23,127.512966777214,36.6065351010539
초롱꽃유치원,255,241,127.519478984562,36.607055860876
애플어린이집,13,7,127.5107766683112,36.60730226976016
상당초등학교병설유치원,58,39,127.509712720512,36.6079652820305
파밀리에어린이집,83,79,127.52510927265995,36.60844005796727
엄마사랑어린이집,13,10,127.51050813012708,36.60861546791678
충북경찰청어린이집,80,56,127.5309165637199,36.60874436611656
무지개동산어린이집,13,13,127.51164334906352,36.60906296726694
행복나무어린이집,13,11,127.51112572019576,36.60938418903551
아이클어린이집,19,16,127.52226398702662,36.61020638740225
교동초등학교병설유치원,17,6,127.510526521926,36.6105918403018
파라곤키즈어린이집,35,27,127.5222053687242,36.61145921581603
한흐름키즈스쿨어린이집,90,58,127.5097909683778,36.611736451981486
키즈숲어린이집,30,6,127.5103946,36.6120553
대자연어린이집,87,80,127.51234569986454,36.613011408997885
용아어린이집,63,60,127.520070259949,36.6130995992978
친구네어린이집,49,47,127.5342027,36.61399461
성요셉어린이집,95,75,127.5120953,36.61429818
원봉초등학교병설유치원,17,1,127.501866277133,36.6128431575265
샛별유치원,92,51,127.505401110602,36.6131566801352
동심의나라어린이집,53,37,127.49907847838784,36.61316954096286
푸르디어린이집,20,11,127.502761,36.61338542
뜨란채어린이집,60,58,127.497878,36.61391018
용암초등학교병설유치원,17,8,127.507625333029,36.6142522825519
꿈나무유치원,175,81,127.502461464129,36.6144567376679
굿샘어린이집,11,7,127.50885222370252,36.61448711094193
우미어린이집,199,154,127.5084028,36.6171128
영운어린이집,56,25,127.5029438,36.61835004
용암어린이집,81,43,127.50968269396296,36.61430694012266
동남칸타빌어린이집,52,45,127.5208787643685,36.61447930282056
동남LH3어린이집,63,44,127.52326123890522,36.61553219803511
별빛어린이집,13,7,127.52391367716064,36.616137593828185
아기둥지어린이집,15,9,127.5099253896675,36.61653349618639
마이빌어린이집,41,41,127.5117315952032,36.61717456676685
동남유치원,254,254,127.522875702219,36.6171881843448
동남어린이집,60,60,127.51964083392238,36.61740211579105
동남키즈린어린이집,40,40,127.5212854788052,36.617608950521614
용아초등학교병설유치원,82,78,127.521942839102,36.6182476771277
문의어린이집,85,12,127.49733311981768,36.5195197324824
상당구청어린이집,48,30,127.5051362353,36.5897470064
리버파크어린이집,49,48,127.50245397746156,36.59762163867914
단재초등학교병설유치원,115,107,127.500223144289,36.5993461497038
센트럴자이어린이집,45,41,127.50066477798696,36.600481254940846
단재어린이집,80,76,127.50168117905004,36.602973118629905
우미린풀하우스어린이집,60,40,127.50898229936465,36.60298271125838
방서어린이집,155,89,127.5045913,36.60302553
중흥어린이집,20,20,127.50118614436506,36.60376369249636
리틀키디어린이집,107,100,127.5053215,36.60490578
문의초등학교병설유치원,21,6,127.49350758612,36.518655652848
신송초등학교병설유치원,17,2,127.493318048948,36.5755002533706
참어린이집,150,148,127.50650855178426,36.60685550289185
숲사랑어린이집,19,19,127.50765684319164,36.60879345664736
새싹어린이집,14,12,127.50933295735896,36.60939907398032
파란꿈어린이집,13,12,127.50933295735896,36.60939907398032
동화나라어린이집,13,11,127.50911799153604,36.61070483061913
꿈나무영아전담어린이집,39,18,127.5049512,36.61141549
한우리어린이집,19,16,127.50763634927368,36.61248818196402
아이웰어린이집,17,3,127.49924145428028,36.61265814215921
창릉어린이집,263,118,127.5032483550411,36.619780719913045
별나무어린이집,30,24,127.4996204,36.62002139
청남초등학교병설유치원,17,8,127.497389138363,36.6205118982671
우리아이들어린이집,123,98,127.497889,36.62255281
아람어린이집,193,112,127.5076893,36.62260632
축복가득어린이집,20,18,127.50816399318664,36.62311942502273
나래유치원,230,120,127.50906550661,36.6232951054177
나래어린이집,20,12,127.50781219787451,36.6236217962512
스타힐스어린이집,30,28,127.50075573100254,36.623626429951926
가람솔어린이집,20,20,127.49954121094278,36.62425330743896
석교초등학교병설유치원,17,17,127.494248038754,36.626761598104
센트럴칸타빌어린이집,42,38,127.49218834286756,36.633123984552114
사랑둥이어린이집,20,15,127.49392193864094,36.639780650813606
예꿈자이어린이집,41,38,127.48469814696774,36.640868349835934
주성초등학교병설유치원,17,13,127.485254263132,36.6414266772926
성안나유치원,216,76,127.491409045819,36.6418053328208
은물영아전담어린이집,32,23,127.4908703525952,36.64223802220889
코아루휴티스어린이집,34,30,127.489458117483,36.64384063019107
무지개숲어린이집,97,75,127.4989394,36.63333837
햇살모아어린이집,34,22,127.50895604959004,36.63548305275602
용담초등학교병설유치원,17,8,127.501415457378,36.636124832038
아이큰숲 어린이집,95,41,127.5085668,36.63760422
